set,metric,estimator,m,sigma,image,plane,n_tiles,neg_diag_frac,neg_eig_frac,neg_energy_frac,tiles_with_neg_frac,diag_dom_mean
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim23,0,6144,0.014798482259114584,0.31408437093098956,0.14372016520029204,1.0,0.4028208922720608
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim23,1,1536,0.015706380208333332,0.3189188639322917,0.1876772225129815,1.0,0.4234307983751416
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim23,2,1536,0.011515299479166666,0.3246663411458333,0.15980173749749085,1.0,0.43524779947197284
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim24,0,6144,0.02397918701171875,0.2721201578776042,0.11092190458437533,1.0,0.42293187045788844
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim24,1,1536,0.0025431315104166665,0.2564595540364583,0.08552653573920636,1.0,0.5256873675113022
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim24,2,1536,0.001251220703125,0.2742818196614583,0.08261522095893181,1.0,0.5110446962008306
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,MEAN(24),0,147456,0.02112664116753472,0.2934628592597114,0.13008524470285368,1.0,0.40940845135839216
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,MEAN(24),1,36864,0.006159888373480902,0.290061526828342,0.13112952964479938,1.0,0.47544494658066155
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,MEAN(24),2,36864,0.004850175645616319,0.3006930881076389,0.12004630337302351,1.0,0.47621092835662066
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim01,0,6144,0.41237640380859375,0.4476369222005208,0.41442199119185563,1.0,0.18009900257662315
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim01,1,1536,0.3837890625,0.464508056640625,0.41994124114357917,1.0,0.18176441531808227
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim01,2,1536,0.3665568033854167,0.4692789713541667,0.40613771438662294,1.0,0.18636508934783103
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim02,0,6144,0.37959543863932294,0.41051483154296875,0.42296610225528464,1.0,0.18308015438927627
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim02,1,1536,0.361572265625,0.3940531412760417,0.4368200870449424,1.0,0.18423273674960794
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim02,2,1536,0.3866780598958333,0.4406840006510417,0.42874262812448277,1.0,0.18167045438425541
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim03,0,6144,0.4073384602864583,0.47186279296875,0.41740715321284105,1.0,0.18029384354592834
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim03,1,1536,0.4165547688802083,0.4757080078125,0.438560305872251,1.0,0.17871003460286602
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim03,2,1536,0.4093831380208333,0.48046875,0.43711172954824606,1.0,0.18026051964225984
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim04,0,6144,0.3970235188802083,0.4648640950520833,0.42542237973819264,1.0,0.1821968221300523
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim04,1,1536,0.3992818196614583,0.4720865885416667,0.4336841605789592,1.0,0.18130750577846055
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim04,2,1536,0.3843892415364583,0.4705098470052083,0.4208634964112175,1.0,0.18298328233725947
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim05,0,6144,0.37560272216796875,0.44060007731119794,0.4263539066349482,1.0,0.18551967431170358
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim05,1,1536,0.3249715169270833,0.4514261881510417,0.4159398690052455,1.0,0.19140573814750259
